num,Gene.Symbol,Protein.Id,Compartment,Swarup.Sharan,Ordureau.Alban,Park.Hankum,Itzhak.Daniel,KH_golgi,Organism,Uniprot_GO
9157,ABHD13,Q7L211,Endosome,0,0,1,0,0,human,0
11207,ABHD14B,Q96IU4,Large Protein Complex,0,0,0,1,0,human,0
9354,ABHD16A,O95870,ER,0,0,0,1,0,human,0
9059,ABHD17A,Q96GS6,Endosome,0,0,1,0,0,human,0
8139,ABHD17B,Q5VST6,Endosome,0,1,0,0,0,human,0
37,ABHD17C,Q6PCB6,Endosome,1,0,0,0,0,human,0
38,ABHD2,P08910,Plasma membrane,1,0,0,0,0,human,0
8243,ABHD6,Q9BV23,ER-Membrane,0,1,0,0,0,human,0
9837,ABI1,Q8IZP0,Large Protein Complex,0,0,0,1,0,human,0
9838,ABI2,Q9NYB9,Large Protein Complex,0,0,0,1,0,human,0
39,ABI3,Q9P2A4,Cytoplasm,1,0,0,0,0,human,0
40,ABITRAM,Q9NX38,Nucleus,1,0,0,0,0,human,0
10816,ABL1,P00519,Large Protein Complex,0,0,0,1,0,human,0
10519,ABL2,P42684,Large Protein Complex,0,0,0,1,0,human,0
9811,ABLIM1,O14639,Actin binding proteins,0,0,0,1,0,human,0
41,ABLIM3,O94929,Cytoplasm,1,0,0,0,0,human,0
42,ABO,P16442,Golgi,1,0,0,0,0,human,0
11068,ABR,Q12979-2,Large Protein Complex,0,0,0,1,0,human,0
43,ABRAXAS1,Q6UWZ7,Nucleus,1,0,0,0,0,human,0
44,ABT1,Q9ULW3,Nucleus,1,0,0,0,0,human,0
45,ABTB1,Q969K4,Cytoplasm,1,0,0,0,0,human,0
46,ACAA1,P09110,Peroxisome,1,0,0,0,0,human,0
47,ACAA2,P42765,Mitochondria,1,0,0,0,0,human,0
48,ACACA,Q13085,Cytoplasm,1,0,0,0,0,human,0
49,ACACB,O00763,Mitochondria,1,0,0,0,0,human,0
8842,ACAD10,Q6JQN1,Mitochondria,0,1,0,0,0,human,0
8843,ACAD11,Q709F0,Mitochondria,0,1,0,0,0,human,0
50,ACAD8,Q9UKU7,Mitochondria,1,0,0,0,0,human,0
51,ACAD9,Q9H845,Mitochondria,1,0,0,0,0,human,0
52,ACADL,P28330,Mitochondria,1,0,0,0,0,human,0
53,ACADM,P11310,Mitochondria,1,0,0,0,0,human,0
54,ACADS,P16219,Mitochondria,1,0,0,0,0,human,0
55,ACADSB,P45954,Mitochondria,1,0,0,0,0,human,0
56,ACADVL,P49748,Mitochondria,1,0,0,0,0,human,0
9535,ACADVL,P49748-3,Mitochondria,0,0,0,1,0,human,0
57,ACAP1,Q15027,Endosome,1,0,0,0,0,human,0
58,ACAP2,Q15057,Endosome,1,0,0,0,0,human,0
59,ACAT1,P24752,Mitochondria,1,0,0,0,0,human,0
60,ACAT2,Q9BWD1,Cytoplasm,1,0,0,0,0,human,0
9488,ACBD3,Q9H3P7,Golgi,0,0,0,1,0,human,0
61,ACBD5,Q5T8D3,Peroxisome,1,0,0,0,0,human,0
9302,ACBD5,Q5T8D3-3,ER,0,0,0,1,0,human,0
62,ACBD6,Q9BR61,Cytoplasm,1,0,0,0,0,human,0
63,ACD,Q96AP0,Nucleus,1,0,0,0,0,human,0
64,ACER1,Q8TDN7,ER,1,0,0,0,0,human,0
65,ACER2,Q5QJU3,Golgi,1,0,0,0,0,human,0
66,ACIN1,Q9UKV3,Nucleus,1,0,0,0,0,human,0
67,ACLY,P53396,Cytoplasm,1,0,0,0,0,human,0
68,ACO1,P21399,Cytoplasm,1,0,0,0,0,human,0
69,ACO2,Q99798,Mitochondria,1,0,0,0,0,human,0
70,ACOD1,A6NK06,Mitochondria,1,0,0,0,0,human,0
71,ACOT1,Q86TX2,Cytoplasm,1,0,0,0,0,human,0
72,ACOT11,Q8WXI4,Mitochondria,1,0,0,0,0,human,0
73,ACOT12,Q8WYK0,Cytoplasm,1,0,0,0,0,human,0
8376,ACOT13,Q9NPJ3,Mitochondrion-Mtx,0,1,0,0,0,human,0
74,ACOT2,P49753,Mitochondria,1,0,0,0,0,human,0
75,ACOT4,Q8N9L9,Peroxisome,1,0,0,0,0,human,0
76,ACOT6,Q3I5F7,Cytoplasm,1,0,0,0,0,human,0
8844,ACOT7,O00154,Mitochondria,0,1,0,0,0,human,0
11208,ACOT7,O00154-4,Large Protein Complex,0,0,0,1,0,human,0
77,ACOT7L,Q6ZUV0,Cytoplasm,1,0,0,0,0,human,0
78,ACOT8,O14734,Peroxisome,1,0,0,0,0,human,0
79,ACOT9,Q9Y305,Mitochondria,1,0,0,0,0,human,0
80,ACOX1,Q15067,Peroxisome,1,0,0,0,0,human,0
81,ACOX2,Q99424,Peroxisome,1,0,0,0,0,human,0
82,ACOX3,O15254,Peroxisome,1,0,0,0,0,human,0
83,ACP1,P24666,Cytoplasm,1,0,0,0,0,human,0
84,ACP2,P11117,Lysosome,1,0,0,0,0,human,0
85,ACP5,P13686,Lysosome,1,0,0,0,0,human,0
86,ACP6,Q9NPH0,Mitochondria,1,0,0,0,0,human,0
87,ACSF2,Q96CM8,Mitochondria,1,0,0,0,0,human,0
88,ACSF3,Q4G176,Mitochondria,1,0,0,0,0,human,0
8820,ACSL1,P33121,Mitochondria,0,1,0,0,0,human,0
8244,ACSL3,O95573,ER-Membrane,0,1,0,0,0,human,0
8332,ACSL4,O60488,Golgi,0,1,0,0,0,human,0
89,ACSM1,Q08AH1,Mitochondria,1,0,0,0,0,human,0
90,ACSM2A,Q08AH3,Mitochondria,1,0,0,0,0,human,0
91,ACSM2B,Q68CK6,Mitochondria,1,0,0,0,0,human,0
92,ACSM3,Q53FZ2,Mitochondria,1,0,0,0,0,human,0
93,ACSM4,P0C7M7,Mitochondria,1,0,0,0,0,human,0
94,ACSM5,Q6NUN0,Mitochondria,1,0,0,0,0,human,0
95,ACSM6,Q6P461,Mitochondria,1,0,0,0,0,human,0
96,ACSS1,Q9NUB1,Mitochondria,1,0,0,0,0,human,0
97,ACSS2,Q9NR19,Cytoplasm,1,0,0,0,0,human,0
98,ACSS3,Q9H6R3,Mitochondria,1,0,0,0,0,human,0
9794,ACTA1,P68133,Actin binding proteins,0,0,0,1,0,human,0
9812,ACTB,P60709,Actin binding proteins,0,0,0,1,0,human,0
8091,ACTG1,P63261,Actin binding proteins,0,1,0,0,0,human,0
99,ACTL6A,O96019,Nucleus,1,0,0,0,0,human,0
100,ACTL6B,O94805,Nucleus,1,0,0,0,0,human,0
10520,ACTL8,Q9H568,Large Protein Complex,0,0,0,1,0,human,0
8092,ACTN1,P12814,Actin binding proteins,0,1,0,0,0,human,0
8093,ACTN4,O43707,Actin binding proteins,0,1,0,0,0,human,0
9182,ACTR10,Q9NZ32,Endosome,0,0,0,1,0,human,0
10817,ACTR1A,P61163,Large Protein Complex,0,0,0,1,0,human,0
10521,ACTR1B,P42025,Large Protein Complex,0,0,0,1,0,human,0
9839,ACTR2,P61160,Large Protein Complex,0,0,0,1,0,human,0
9840,ACTR3,P61158,Large Protein Complex,0,0,0,1,0,human,0
101,ACTR8,Q9H981,Nucleus,1,0,0,0,0,human,0
102,ACVR1B,P36896,Plasma membrane,1,0,0,0,0,human,0
103,ACVR2B,Q13705,Plasma membrane,1,0,0,0,0,human,0
104,ACVRL1,P37023,Plasma membrane,1,0,0,0,0,human,0
105,ACY1,Q03154,Cytoplasm,1,0,0,0,0,human,0
11069,ACYP1,P07311,Large Protein Complex,0,0,0,1,0,human,0
8845,ACYP2,P14621,Mitochondria,0,1,0,0,0,human,0
106,ADAD1,Q96M93,Nucleus,1,0,0,0,0,human,0
8245,ADAM10,O14672,ER-Membrane,0,1,0,0,0,human,0
9656,ADAM15,Q13444,Plasma membrane,0,0,0,1,0,human,0
8564,ADAM17,P78536,Plasma membrane,0,1,0,0,0,human,0
107,ADAM22,Q9P0K1,Plasma membrane,1,0,0,0,0,human,0
8565,ADAM9,Q13443,Plasma membrane,0,1,0,0,0,human,0
8443,ADAR,P55265,Nucleus,0,1,0,0,0,human,0
108,ADARB1,P78563,Nucleus,1,0,0,0,0,human,0
109,ADARB2,Q9NS39,Nucleus,1,0,0,0,0,human,0
8846,ADCK1,Q86TW2,Mitochondria,0,1,0,0,0,human,0
8847,ADCK5,Q3MIX3,Mitochondria,0,1,0,0,0,human,0
110,ADCY5,O95622,Plasma membrane,1,0,0,0,0,human,0
111,ADCY6,O43306,Plasma membrane,1,0,0,0,0,human,0
112,ADCY9,O60503,Plasma membrane,1,0,0,0,0,human,0
113,ADCYAP1R1,P41586,Plasma membrane,1,0,0,0,0,human,0
10522,ADD1,P35611-2,Large Protein Complex,0,0,0,1,0,human,0
10523,ADD3,Q9UEY8,Large Protein Complex,0,0,0,1,0,human,0
114,ADGRA2,Q96PE1,Plasma membrane,1,0,0,0,0,human,0
115,ADGRB2,O60241,Plasma membrane,1,0,0,0,0,human,0
116,ADGRB3,O60242,Plasma membrane,1,0,0,0,0,human,0
117,ADGRD1,Q6QNK2,Plasma membrane,1,0,0,0,0,human,0
118,ADGRE1,Q14246,Plasma membrane,1,0,0,0,0,human,0
119,ADGRE2,Q9UHX3,Plasma membrane,1,0,0,0,0,human,0
120,ADGRF5,Q8IZF2,Plasma membrane,1,0,0,0,0,human,0
121,ADGRG2,Q8IZP9,Plasma membrane,1,0,0,0,0,human,0
122,ADGRG3,Q86Y34,Plasma membrane,1,0,0,0,0,human,0
123,ADGRG5,Q8IZF4,Plasma membrane,1,0,0,0,0,human,0
124,ADGRG6,Q86SQ4,Plasma membrane,1,0,0,0,0,human,0
125,ADGRL1,O94910,Plasma membrane,1,0,0,0,0,human,0
126,ADGRL3,Q9HAR2,Plasma membrane,1,0,0,0,0,human,0
127,ADGRL4,Q9HBW9,Plasma membrane,1,0,0,0,0,human,0
128,ADGRV1,Q8WXG9,Plasma membrane,1,0,0,0,0,human,0
129,ADH1A,P07327,Cytoplasm,1,0,0,0,0,human,0
130,ADH1B,P00325,Cytoplasm,1,0,0,0,0,human,0
131,ADH1C,P00326,Cytoplasm,1,0,0,0,0,human,0
132,ADH4,P08319,Cytoplasm,1,0,0,0,0,human,0
133,ADH5,P11766,Cytoplasm,1,0,0,0,0,human,0
134,ADH6,P28332,Cytoplasm,1,0,0,0,0,human,0
135,ADH7,P40394,Cytoplasm,1,0,0,0,0,human,0
136,ADHFE1,Q8IWW8,Mitochondria,1,0,0,0,0,human,0
137,ADIG,Q0VDE8,Nucleus,1,0,0,0,0,human,0
138,ADIPOR1,Q96A54,Plasma membrane,1,0,0,0,0,human,0
139,ADIPOR2,Q86V24,Plasma membrane,1,0,0,0,0,human,0
140,ADIRF,Q15847,Nucleus,1,0,0,0,0,human,0
11209,ADK,P55263,Large Protein Complex,0,0,0,1,0,human,0
141,ADNP,Q9H2P0,Nucleus,1,0,0,0,0,human,0
142,ADNP2,Q6IQ32,Nucleus,1,0,0,0,0,human,0
143,ADORA1,P30542,Plasma membrane,1,0,0,0,0,human,0
144,ADORA2A,P29274,Plasma membrane,1,0,0,0,0,human,0
145,ADORA2B,P29275,Plasma membrane,1,0,0,0,0,human,0
146,ADORA3,P0DMS8,Plasma membrane,1,0,0,0,0,human,0
8246,ADPGK,Q9BRR6,ER-Membrane,0,1,0,0,0,human,0
9564,ADPRHL2,Q9NX46,Mitochondria,0,0,0,1,0,human,0
147,ADRA1D,P25100,Plasma membrane,1,0,0,0,0,human,0
148,ADRA2A,P08913,Plasma membrane,1,0,0,0,0,human,0
149,ADRA2C,P18825,Plasma membrane,1,0,0,0,0,human,0
150,ADRB3,P13945,Plasma membrane,1,0,0,0,0,human,0
10524,ADRM1,Q16186,Large Protein Complex,0,0,0,1,0,human,0
10818,ADSL,P30566,Large Protein Complex,0,0,0,1,0,human,0
11070,ADSS,P30520,Large Protein Complex,0,0,0,1,0,human,0
151,ADSS1,Q8N142,Cytoplasm,1,0,0,0,0,human,0
152,ADTRP,Q96IZ2,Plasma membrane,1,0,0,0,0,human,0
153,AEBP2,Q6ZN18,Nucleus,1,0,0,0,0,human,0
154,AEN,Q8WTP8,Nucleus,1,0,0,0,0,human,0
9841,AFAP1,Q8N556,Large Protein Complex,0,0,0,1,0,human,0
155,AFAP1L2,Q8N4X5,Cytoplasm,1,0,0,0,0,human,0
156,AFF1,P51825,Nucleus,1,0,0,0,0,human,0
157,AFF2,P51816,Nucleus,1,0,0,0,0,human,0
158,AFF3,P51826,Nucleus,1,0,0,0,0,human,0
159,AFF4,Q9UHB7,Nucleus,1,0,0,0,0,human,0
160,AFG1L,Q8WV93,Mitochondria,1,0,0,0,0,human,0
161,AFG3L2,Q9Y4W6,Mitochondria,1,0,0,0,0,human,0
162,AFTPH,Q6ULP2,Cytoplasm,1,0,0,0,0,human,0
163,AGA,P20933,Lysosome,1,0,0,0,0,human,0
164,AGAP1,Q9UPQ3,Cytoplasm,1,0,0,0,0,human,0
9657,AGAP3,Q96P47,Plasma membrane,0,0,0,1,0,human,0
165,AGBL1,Q96MI9,Cytoplasm,1,0,0,0,0,human,0
166,AGBL3,Q8NEM8,Cytoplasm,1,0,0,0,0,human,0
8566,AGFG1,P52594,Plasma membrane,0,1,0,0,0,human,0
11071,AGFG2,O95081,Large Protein Complex,0,0,0,1,0,human,0
167,AGK,Q53H12,Mitochondria,1,0,0,0,0,human,0
11072,AGL,P35573,Large Protein Complex,0,0,0,1,0,human,0
168,AGMAT,Q9BSE5,Mitochondria,1,0,0,0,0,human,0
169,AGMO,Q6ZNB7,ER,1,0,0,0,0,human,0
9842,AGO1,Q9UL18,Large Protein Complex,0,0,0,1,0,human,0
9843,AGO2,Q9UKV8,Large Protein Complex,0,0,0,1,0,human,0
9844,AGO3,Q9H9G7,Large Protein Complex,0,0,0,1,0,human,0
170,AGPAT1,Q99943,ER,1,0,0,0,0,human,0
171,AGPAT2,O15120,ER,1,0,0,0,0,human,0
8247,AGPAT3,Q9NRZ7,ER-Membrane,0,1,0,0,0,human,0
172,AGPAT4,Q9NRZ5,ER,1,0,0,0,0,human,0
8848,AGPAT5,Q9NUQ2,Mitochondria,0,1,0,0,0,human,0
173,AGPS,O00116,Peroxisome,1,0,0,0,0,human,0
9270,AGR2,O95994,ER,0,0,0,1,0,human,0
174,AGR3,Q8TD06,ER,1,0,0,0,0,human,0
9355,AGRN,O00468-6,ER,0,0,0,1,0,human,0
175,AGTR1,P30556,Plasma membrane,1,0,0,0,0,human,0
176,AGTR2,P50052,Plasma membrane,1,0,0,0,0,human,0
8140,AGTRAP,Q6RW13,Endosome,0,1,0,0,0,human,0
177,AGXT2,Q9BYV1,Mitochondria,1,0,0,0,0,human,0
8444,AHCTF1,Q8WYP5,Nucleus,0,1,0,0,0,human,0
178,AHCY,P23526,Cytoplasm,1,0,0,0,0,human,0
8849,AHCYL1,O43865,Mitochondria,0,1,0,0,0,human,0
10819,AHI1,Q8N157,Large Protein Complex,0,0,0,1,0,human,0
179,AHNAK,Q09666,Nucleus,1,0,0,0,0,human,0
180,AHNAK2,Q8IVF2,Nucleus,1,0,0,0,0,human,0
9845,AHNAK2,Q8IVF2-3,Large Protein Complex,0,0,0,1,0,human,0
11073,AHSA1,O95433,Large Protein Complex,0,0,0,1,0,human,0
181,AHSP,Q9NZD4,Cytoplasm,1,0,0,0,0,human,0
8567,AIDA,Q96BJ3,Plasma membrane,0,1,0,0,0,human,0
9813,AIF1L,Q9BQI0,Actin binding proteins,0,0,0,1,0,human,0
8365,AIFM1,O95831,Mitochondrion-IM,0,1,0,0,0,human,0
8333,AIFM2,Q9BRQ8,Golgi,0,1,0,0,0,human,0
182,AIG1,Q9NVV5,Plasma membrane,1,0,0,0,0,human,0
10525,AIMP1,Q12904,Large Protein Complex,0,0,0,1,0,human,0
10526,AIMP2,Q13155,Large Protein Complex,0,0,0,1,0,human,0
183,AIP,O00170,Cytoplasm,1,0,0,0,0,human,0
184,AIP,Q9NWT8,Cytoplasm,1,0,0,0,0,human,0
185,AJAP1,Q9UKB5,Plasma membrane,1,0,0,0,0,human,0
186,AJM1,C9J069,Plasma membrane,1,0,0,0,0,human,0
187,AK1,P00568,Cytoplasm,1,0,0,0,0,human,0
188,AK2,P54819,Mitochondria,1,0,0,0,0,human,0
189,AK3,Q9UIJ7,Mitochondria,1,0,0,0,0,human,0
190,AK4,P27144,Mitochondria,1,0,0,0,0,human,0
191,AK5,Q9Y6K8,Cytoplasm,1,0,0,0,0,human,0
192,AK6,Q9Y3D8,Nucleus,1,0,0,0,0,human,0
193,AK8,Q96MA6,Cytoplasm,1,0,0,0,0,human,0
194,AKAP1,Q92667,Mitochondria,1,0,0,0,0,human,0
8850,AKAP10,O43572,Mitochondria,0,1,0,0,0,human,0
9158,AKAP12,Q02952,Endosome,0,0,1,0,0,human,0
10820,AKAP13,Q12802,Large Protein Complex,0,0,0,1,0,human,0
195,AKAP14,Q86UN6,Cytoplasm,1,0,0,0,0,human,0
196,AKAP17A,Q02040,Nucleus,1,0,0,0,0,human,0
9829,AKAP2,Q9Y2D5-6,Actin binding proteins,0,0,0,1,0,human,0
197,AKAP7,Q9P0M2,Plasma membrane,1,0,0,0,0,human,0
198,AKAP7,O43687,Plasma membrane,1,0,0,0,0,human,0
8445,AKAP8,O43823,Nucleus,0,1,0,0,0,human,0
11210,AKAP8L,Q9ULX6,Large Protein Complex,0,0,0,1,0,human,0
9846,AKAP9,Q99996-3,Large Protein Complex,0,0,0,1,0,human,0
199,AKIP1,Q9NQ31,Nucleus,1,0,0,0,0,human,0
200,AKIRIN1,Q9H9L7,Nucleus,1,0,0,0,0,human,0
201,AKIRIN2,Q53H80,Nucleus,1,0,0,0,0,human,0
10821,AKR1A1,P14550,Large Protein Complex,0,0,0,1,0,human,0
202,AKR1B1,P15121,Cytoplasm,1,0,0,0,0,human,0
203,AKR1C1,Q04828,Cytoplasm,1,0,0,0,0,human,0
204,AKR1C2,P52895,Cytoplasm,1,0,0,0,0,human,0
205,AKR1C3,P42330,Cytoplasm,1,0,0,0,0,human,0
206,AKR1C4,P17516,Cytoplasm,1,0,0,0,0,human,0
207,AKR1C8P,Q5T2L2,Cytoplasm,1,0,0,0,0,human,0
208,AKR1D1,P51857,Cytoplasm,1,0,0,0,0,human,0
209,AKR1E2,Q96JD6,Cytoplasm,1,0,0,0,0,human,0
8851,AKR7A2,O43488,Mitochondria,0,1,0,0,0,human,0
210,AKR7A3,O95154,Cytoplasm,1,0,0,0,0,human,0
211,AKT1S1,Q96B36,Cytoplasm,1,0,0,0,0,human,0
212,ALAS1,P13196,Mitochondria,1,0,0,0,0,human,0
213,ALAS2,P22557,Mitochondria,1,0,0,0,0,human,0
9705,ALCAM,Q13740,Plasma membrane,0,0,0,1,0,human,0
8141,ALDH16A1,Q8IZ83,Endosome,0,1,0,0,0,human,0
214,ALDH18A1,P54886,Mitochondria,1,0,0,0,0,human,0
215,ALDH1A1,P00352,Cytoplasm,1,0,0,0,0,human,0
216,ALDH1A2,O94788,Cytoplasm,1,0,0,0,0,human,0
217,ALDH1A3,P47895,Cytoplasm,1,0,0,0,0,human,0
218,ALDH1B1,P30837,Mitochondria,1,0,0,0,0,human,0
219,ALDH1L1,O75891,Cytoplasm,1,0,0,0,0,human,0
220,ALDH1L2,Q3SY69,Mitochondria,1,0,0,0,0,human,0
221,ALDH2,P05091,Mitochondria,1,0,0,0,0,human,0
222,ALDH3A1,P30838,Cytoplasm,1,0,0,0,0,human,0
223,ALDH3A2,P51648,ER,1,0,0,0,0,human,0
9584,ALDH3B1,P43353,Plasma membrane,0,0,0,1,0,human,0
224,ALDH4A1,P30038,Mitochondria,1,0,0,0,0,human,0
225,ALDH5A1,P51649,Mitochondria,1,0,0,0,0,human,0
226,ALDH6A1,Q02252,Mitochondria,1,0,0,0,0,human,0
8377,ALDH7A1,P49419,Mitochondrion-Mtx,0,1,0,0,0,human,0
9536,ALDH7A1,P49419-2,Mitochondria,0,0,0,1,0,human,0
227,ALDH8A1,Q9H2A2,Cytoplasm,1,0,0,0,0,human,0
228,ALDH9A1,P49189,Cytoplasm,1,0,0,0,0,human,0
8568,ALDOA,P04075,Plasma membrane,0,1,0,0,0,human,0
8569,ALDOC,P09972,Plasma membrane,0,1,0,0,0,human,0
229,ALG1,Q9BT22,ER,1,0,0,0,0,human,0
230,ALG10,Q5BKT4,ER,1,0,0,0,0,human,0
231,ALG10B,Q5I7T1,Plasma membrane,1,0,0,0,0,human,0
232,ALG11,Q2TAA5,ER,1,0,0,0,0,human,0
233,ALG12,Q9BV10,ER,1,0,0,0,0,human,0
9356,ALG13,Q9NP73,ER,0,0,0,1,0,human,0
8248,ALG2,Q9H553,ER-Membrane,0,1,0,0,0,human,0
234,ALG3,Q92685,ER,1,0,0,0,0,human,0
235,ALG5,Q9Y673,ER,1,0,0,0,0,human,0
236,ALG6,Q9Y672,ER,1,0,0,0,0,human,0
237,ALG8,Q9BVK2,ER,1,0,0,0,0,human,0
238,ALG9,Q9H6U8,ER,1,0,0,0,0,human,0
239,ALK,Q9UM73,Plasma membrane,1,0,0,0,0,human,0
8852,ALKBH1,Q13686,Mitochondria,0,1,0,0,0,human,0
240,ALKBH2,Q6NS38,Nucleus,1,0,0,0,0,human,0
241,ALKBH5,Q6P6C2,Nucleus,1,0,0,0,0,human,0
242,ALKBH7,Q9BT30,Mitochondria,1,0,0,0,0,human,0
243,ALOXE3,Q9BYJ1,Cytoplasm,1,0,0,0,0,human,0
244,ALPG,P10696,Plasma membrane,1,0,0,0,0,human,0
245,ALPI,P09923,Plasma membrane,1,0,0,0,0,human,0
246,ALPK1,Q96QP1,Cytoplasm,1,0,0,0,0,human,0
247,ALPK2,Q86TB3,Plasma membrane,1,0,0,0,0,human,0
248,ALPK3,Q96L96,Nucleus,1,0,0,0,0,human,0
249,ALPL,P05186,Plasma membrane,1,0,0,0,0,human,0
250,ALPP,P05187,Plasma membrane,1,0,0,0,0,human,0
251,ALS2CL,Q60I27,Cytoplasm,1,0,0,0,0,human,0
252,ALX1,Q15699,Nucleus,1,0,0,0,0,human,0
253,ALX3,O95076,Nucleus,1,0,0,0,0,human,0
254,ALX4,Q9H161,Nucleus,1,0,0,0,0,human,0
8446,ALYREF,Q86V81,Nucleus,0,1,0,0,0,human,0
8853,AMACR,Q9UHK6,Mitochondria,0,1,0,0,0,human,0
255,AMER2,Q8N7J2,Plasma membrane,1,0,0,0,0,human,0
256,AMER3,Q8N944,Plasma membrane,1,0,0,0,0,human,0
257,AMFR,Q9UKV5,ER,1,0,0,0,0,human,0
258,AMIGO1,Q86WK6,Plasma membrane,1,0,0,0,0,human,0
259,AMMECR1,Q9Y4X0,Nucleus,1,0,0,0,0,human,0
260,AMOTL2,Q9Y2J4,Endosome,1,0,0,0,0,human,0
10822,AMPD2,Q01433,Large Protein Complex,0,0,0,1,0,human,0
261,AMT,P48728,Mitochondria,1,0,0,0,0,human,0
10823,ANAPC1,Q9H1A4,Large Protein Complex,0,0,0,1,0,human,0
262,ANAPC13,Q9BS18,Nucleus,1,0,0,0,0,human,0
11074,ANAPC5,Q9UJX4,Large Protein Complex,0,0,0,1,0,human,0
